Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-05-03,241.15237426757812,243.53651917014565,240.4438295156719,242.62689597172758,19626600
2021-05-04,237.25538635253906,240.53000045768178,235.31169145877024,240.30019861922892,32756100
2021-05-05,235.99148559570312,238.8926659005595,235.36912577706485,238.47136988360444,21901300
2021-05-06,239.1129150390625,239.23739286323433,234.28719323134123,235.972362911324,26491100
2021-05-07,241.7268829345703,243.48865338351683,240.4917180124829,241.43005005006262,27032900
2021-05-10,236.6713409423828,241.02790440002454,236.61389413007436,240.2044660000965,29299900
2021-05-11,235.76170349121094,236.11598314057656,232.2573168782993,234.1531345029987,33641600
2021-05-12,228.83909606933594,233.99037412051345,227.94864132759164,231.8743241677581,36684400
2021-05-13,232.69776916503906,235.1585146453804,231.15621646675106,231.5200657402829,29624300
2021-05-14,237.60011291503906,238.58632219282524,235.05321160322504,235.13938182515005,23901100
2021-05-17,234.75633239746094,236.10639071490897,233.16691726968943,236.0680977160774,24970200
2021-05-18,232.74563598632812,235.93406526132515,232.57328095548002,235.80001784180902,20168000
2021-05-19,233.32147216796875,233.42703939757578,228.98365334584912,229.6650298465588,25739800
2021-05-20,236.54608154296875,237.956837120087,234.0316804176235,234.12765596260508,21800700
2021-05-21,235.28883361816406,238.32147864585824,234.8761710741965,237.59211443977617,21863100
2021-05-24,240.67274475097656,241.03743419435494,237.53453234396076,237.8032462568259,21411500
2021-05-25,241.57484436035156,242.56333074837534,240.71112322411236,241.62283212210016,17704300
2021-05-26,241.35415649414062,242.74571394261974,240.64397558156952,241.29656238462576,17771600
2021-05-27,239.26199340820312,241.3445335898177,239.20441394645133,241.04702994155994,24426200
2021-05-28,239.6171112060547,241.92039251622947,239.50195226588028,240.88391812322266,18270200
2021-06-01,237.428955078125,241.1621746137941,237.0067008356278,241.1045951554449,23213300
2021-06-02,237.33302307128906,239.22362695076313,235.9318592911416,238.12957317758924,19406700
2021-06-03,235.80706787109375,236.4116667965383,233.20628353326998,235.3368112456959,25307700
2021-06-04,240.68235778808594,241.50769763472985,237.53455340642336,237.77447761017086,25281100
2021-06-07,243.58062744140625,243.84934135732763,239.74184047817525,239.90498716685534,23079200
2021-06-08,242.39060974121094,245.69196883019157,242.3330156367018,244.87622075345962,22455000
2021-06-09,243.3694610595703,245.2312748354978,243.0047863036955,243.58059548635435,17937600
2021-06-10,246.87237548828125,247.08350993870562,243.4462658042312,244.04127308607627,24563600
2021-06-11,247.49620056152344,248.0719951619915,246.26776064687272,247.5921468031884,18999700
2021-06-14,249.4155731201172,249.47315257534447,246.45008473782653,247.50575689635525,19150500
2021-06-15,247.94720458984375,249.51151476586116,247.29461791752257,249.30038033803766,18038900
2021-06-16,247.0067596435547,250.0777717386489,244.16605075768612,248.9453365777258,27220000
2021-06-17,250.3848419189453,251.2005899022256,245.69194068385687,245.74952013795982,27565500
2021-06-18,248.97415161132812,251.72847693840555,248.32156476965892,249.16610270011282,37202200
2021-06-21,252.04510498046875,252.89921966471243,247.5249425135717,249.3483600675383,26696100
2021-06-22,254.80908203125,255.077795937688,251.82441004310962,252.13152001835851,24694100
2021-06-23,254.57879638671875,256.0759212680884,253.77265447272177,255.26977935409138,19518700
2021-06-24,255.94158935546875,257.05484136424496,254.77075787103402,255.43295112873392,21446900
2021-06-25,254.33883666992188,256.478971088215,254.0893354162517,255.5000908908424,25611100
2021-06-28,257.8896789550781,258.0624173190281,255.19293377437566,255.4616476586145,19590000
2021-06-29,260.46173095703125,260.70165518033133,257.1795839833562,258.0336989887395,19937800
2021-06-30,259.9818420410156,260.42329434263524,258.7342479891088,259.7803139253489,21656500
2021-07-01,260.6535949707031,260.8839127760859,258.7342018255398,258.7437788756873,16725300
2021-07-02,266.4598083496094,266.7957080842182,261.517375730034,261.8244857323976,26458000
2021-07-06,266.4693908691406,268.11046403566195,263.244794707822,266.8244739642971,31565600
2021-07-07,268.6478576660156,269.3772364417186,265.9799023346366,268.1392196481216,23260000
2021-07-08,266.2390441894531,267.4962443949508,263.7918002820035,265.7399832123837,24618600
2021-07-09,266.73809814453125,266.84365072149694,264.2236975236495,264.60757033893503,23916700
2021-07-12,266.1430969238281,268.49433627554,265.43290144744316,267.9089353442858,18931700
2021-07-13,269.65557861328125,271.4502066850758,266.21027111145844,266.33500707591065,26120100
2021-07-14,271.1239013671875,272.2275466221714,269.2428749057434,270.97034639354206,23113700
2021-07-15,269.70361328125,271.1239752085975,268.55196530906284,270.6345204272743,22604200
2021-07-16,269.434814453125,272.64980384909137,268.19679766614735,270.7016209659572,26186800
2021-07-19,265.8456115722656,269.0701786607104,263.3887901846065,267.68821296919947,32935600
2021-07-20,268.06243896484375,269.64593236514037,265.1257699569879,266.8244222536532,26259700
2021-07-21,270.0586853027344,270.1738442376785,266.1143453427813,267.65944319932055,24364300
2021-07-22,274.60760498046875,274.8763188626381,271.9972290018453,272.40028518129105,23384100
2021-07-23,277.9952697753906,278.30235036558133,274.9530192931726,275.7879504772599,22768100
2021-07-26,277.4003601074219,278.0145801435692,275.0875164942922,277.3523869804331,23176100
2021-07-27,274.99151611328125,277.9089731585834,271.54620828066527,277.76502450299625,33604100
2021-07-28,274.684326171875,278.4559262885802,272.39063753919015,277.3426748633672,33566900
2021-07-29,274.95306396484375,276.9876159825094,274.5499785237899,274.70353348763825,18168300
2021-07-30,273.42718505859375,275.1066542513288,272.46748837703086,273.676715567838,20944800
2021-08-02,273.3408203125,275.2122112993794,272.3043314785068,274.8187321390319,16267400
2021-08-03,275.54815673828125,275.65373862205524,272.55390723217295,273.9166896548883,17879000
2021-08-04,274.9627380371094,275.99919768889043,273.1776867693029,274.6844177660965,16191300
2021-08-05,277.8513488769531,277.9569307324331,274.5692029085165,275.31776508444204,13900200
2021-08-06,277.7938232421875,277.83221931412936,276.0279846719422,276.8821288688246,16589300
2021-08-09,276.70941162109375,279.79963700414334,276.2103797453838,278.07219419100153,16117600
2021-08-10,274.89544677734375,277.5921913930714,273.70543258039936,277.1603162860586,18616600
2021-08-11,275.385009765625,277.0260831007816,274.3389144756151,275.6345110192113,13955900
2021-08-12,278.12969970703125,278.2832546943312,274.7995509694879,275.0778712144452,14561300
2021-08-13,281.0472106933594,281.09518381779094,277.64026951768847,277.81303719840986,18249000
2021-08-16,282.7266540527344,282.93778849851935,278.33122675983446,281.37347818942425,22507600
2021-08-17,281.26788330078125,281.6037829881996,279.34848998709674,280.60571955216835,20075300
2021-08-18,279.5467224121094,283.4793919946404,279.10439575220477,280.8063292983416,21813000
2021-08-19,285.3544921875,286.0275778607729,277.5372438390426,277.58530881126427,29850500
2021-08-20,292.65240478515625,294.07548533155943,286.59475375852804,288.1909033414219,40817600
2021-08-23,292.9313049316406,293.6524553767425,290.23902167406834,291.5851633028545,22830200
2021-08-24,290.9794006347656,293.892847343343,290.38325427792677,293.28707625697854,18175800
2021-08-25,290.3928527832031,292.8735972507259,288.86401745475416,292.59474421285233,20006100
2021-08-26,287.5851745605469,290.79669430920046,287.4505750714238,289.4120831267804,17666100
2021-08-27,288.1910095214844,289.2967678980411,285.4121618113785,287.4890790455241,22605700
2021-08-30,291.9120788574219,292.51784992119383,289.4793992168539,289.5370889044811,16348100
2021-08-31,290.2679138183594,292.7871284221074,289.9025261716433,292.7102186066526,26285300
2021-09-01,290.21978759765625,293.4505570216653,289.89286956645867,291.2197911507648,18983800
2021-09-02,289.56591796875,291.69089959705036,288.6332289446876,290.57554613458024,16285600
2021-09-03,289.556396484375,290.96022807123313,288.71024177108217,289.41214289266503,14747900
2021-09-07,288.63330078125,289.50830033860336,286.7294820320938,289.43139052137866,17180400
2021-09-08,288.6620788574219,289.04668654196234,286.0274854074498,288.248626330133,15046800
2021-09-09,285.8159484863281,290.51786328819594,285.5755650140941,289.2486315123154,19927000
2021-09-10,284.335205078125,288.38328426235665,284.01791177587137,286.9409832920089,19633400
2021-09-13,285.5660095214844,287.05640501689754,282.7679417050382,286.1044662823442,23652900
2021-09-14,288.2582092285156,289.7966690871103,286.6332148542332,288.03704590374826,21853400
2021-09-15,293.0948486328125,293.5756157110724,290.2102461632535,291.5948576961373,28356300
2021-09-16,293.4794006347656,293.5659351711585,289.19096732817496,292.0755692493566,19550800
2021-09-17,288.335205078125,292.7871123350573,288.0082870289444,292.469819016164,41372500
2021-09-20,282.9794616699219,287.22945511957835,278.38333004418814,284.93137463486613,38278700
2021-09-21,283.46026611328125,286.09488973494166,282.7583649379166,284.3160456232451,22364100
2021-09-22,287.0948181152344,288.6717480113228,283.18139690958066,285.3160036325235,26626300
2021-09-23,288.037109375,289.32556135418525,286.085196618995,287.35442848279695,18604600
2021-09-24,287.8352355957031,288.26790832981595,285.5083101876047,286.7583221103223,14999000
2021-09-27,282.85443115234375,285.0659473135494,281.67173392975803,284.7486540480037,23571700
2021-09-28,272.6141357421875,279.59488265396965,271.87376505360436,278.6525686782069,43186200
2021-09-29,273.07562255859375,275.73906084869554,272.123713405147,274.1333156978042,26353700
2021-09-30,271.07562255859375,276.7582615099041,270.7871448115844,274.71981454324316,32343600
2021-10-01,277.9794921875,278.8256468235506,270.4699138080857,271.26797413672585,30086300
